GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,Manager,0,28,0,0,0,14,0,8,0,8
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,Compra,8,15,0,0,4,6,2,3,2,3
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,TarjetaCredito,76,187,10,14,18,44,10,12,2,8
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,Tarjeta,25,108,1,9,10,26,6,12,5,8
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,Cuenta,61,293,12,20,16,79,17,20,5,16
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,TarjetaDebito,83,17,3,1,21,5,6,2,4,2
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,MovimientoTarjetaCredito,22,28,0,0,10,12,6,6,6,6
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,MovimientoCuenta,22,21,0,0,10,9,6,4,6,4
banco20193capas,edu.uclm.esi.iso2.banco20193capas.model,Cliente,22,26,0,0,10,11,6,5,6,5
banco20193capas,edu.uclm.esi.iso2.banco20193capas,Lanzadora,30,3,0,0,10,1,1,1,1,1
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,CuentaYaCreadaException,4,0,0,0,2,0,1,0,1,0
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,TokenInvalidoException,3,0,0,0,1,0,1,0,1,0
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,PinInvalidoException,0,4,0,0,0,2,0,1,0,1
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,LoginException,4,0,0,0,2,0,1,0,1,0
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,ClienteNoAutorizadoException,14,0,0,0,2,0,1,0,1,0
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,CuentaSinTitularesException,0,4,0,0,0,2,0,1,0,1
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,ClienteNoEncontradoException,10,0,0,0,2,0,1,0,1,0
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,CuentaInvalidaException,0,12,0,0,0,2,0,1,0,1
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,ImporteInvalidoException,12,0,0,0,2,0,1,0,1,0
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,SaldoInsuficienteException,0,4,0,0,0,2,0,1,0,1
banco20193capas,edu.uclm.esi.iso2.banco20193capas.exceptions,TarjetaBloqueadaException,0,4,0,0,0,2,0,1,0,1
